,name,rating,reviews,type,hq,old,employees
0,TCS,3.9,(50.8k Reviews),Public,"Mumbai,Maharashtra + 279 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(32.9k Reviews),Public,Dublin + 143 more,33 years old,1 Lakh+ Employees (India)
2,Cognizant,3.9,(30.2k Reviews),Private,Teaneck. New Jersey. + 100 more,28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(35.4k Reviews),Public,"Mumbai,Maharashtra + 1048 more",28 years old,1 Lakh+ Employees (India)
4,HDFC Bank,4.0,(40.6k Reviews),Public,"Mumbai,Maharashtra + 1229 more",28 years old,1 Lakh+ Employees (India)
5,Wipro,3.9,(29.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 232 more",77 years old,1 Lakh+ Employees (India)
6,Infosys,3.9,(28.7k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 127 more",41 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,(24.4k Reviews),Public,Paris + 80 more,55 years old,1 Lakh+ Employees (India)
8,Tech Mahindra,3.7,(22.2k Reviews),Public,"Pune,Maharashtra + 218 more",36 years old,50k-1 Lakh Employees (India)
9,Genpact,4.0,(21.4k Reviews),Public,"New York,New York + 68 more",25 years old,50k-1 Lakh Employees (India)
10,HCLTech,3.8,(18.9k Reviews),Public,Noida + 142 more,31 years old,1 Lakh+ Employees (India)
11,Amazon,4.3,(18.7k Reviews),Public,"Seattle,Washington + 392 more",28 years old,1 Lakh+ Employees (India)
12,Axis Bank,3.9,(19.4k Reviews),Public,"Mumbai,Maharashtra + 1085 more",29 years old,1 Lakh+ Employees (India)
13,IBM,4.2,(15.9k Reviews),Public,"Armonk,New York + 122 more",111 years old,1 Lakh+ Employees (India)
14,Concentrix Corpo...,4.0,(15.3k Reviews),Public,"Fremont,California + 71 more",39 years old,10k-50k Employees (India)
15,Reliance jio,4.0,(15.3k Reviews),Public,"Navi Mumbai,Maharashtra + 975 more",15 years old,50k-1 Lakh Employees (India)
16,Larsen & Toubro ...,4.1,(25.2k Reviews),Public,"Mumbai,Maharashtra + 525 more",84 years old,10k-50k Employees (India)
