Age,Fare,Family,Survived
22,7.25,1,0
38,71.2833,1,1
26,7.925,0,1
35,53.1,1,1
35,8.05,0,0
,8.4583,0,0
54,51.8625,0,0
2,21.075,4,0
27,11.1333,2,1
14,30.0708,1,1
4,16.7,2,1
58,26.55,0,1
20,8.05,0,0
39,31.275,6,0
14,7.8542,0,0
55,16,0,1
2,29.125,5,0
,13,0,1
31,18,1,0
,7.225,0,1
35,26,0,0
34,13,0,1
15,8.0292,0,1
28,35.5,0,1
8,21.075,4,0
38,31.3875,6,1
,7.225,0,0
19,263,5,0
,7.8792,0,1
,7.8958,0,0
40,27.7208,0,0
,146.5208,1,1
,7.75,0,1
66,10.5,0,0
28,82.1708,1,0
42,52,1,0
,7.2292,0,1
21,8.05,0,0
18,18,2,0
14,11.2417,1,1
40,,1,0
27,21,1,0
,7.8958,0,0
3,41.5792,3,1
19,7.8792,0,1
,8.05,0,0
,15.5,1,0
,7.75,0,1
,21.6792,2,0
18,17.8,1,0
7,39.6875,5,0
21,7.8,0,0
49,76.7292,1,1
29,26,1,1
65,61.9792,1,0
,35.5,0,1
21,10.5,0,1
28.5,7.2292,0,0
5,27.75,3,1
11,46.9,7,0
22,7.2292,0,0
38,80,0,1
45,83.475,1,0
4,27.9,5,0
,27.7208,0,0
,15.2458,2,1
29,10.5,0,1
19,8.1583,0,0
17,7.925,6,1
26,8.6625,2,0
32,10.5,0,0
16,46.9,7,0
21,73.5,0,0
26,14.4542,1,0
32,56.4958,0,1
25,7.65,0,0
,7.8958,0,0
,8.05,0,0
0.83,29,2,1
30,12.475,0,1
22,9,0,0
29,9.5,0,1
,,0,1
28,47.1,0,0
17,10.5,0,1
33,15.85,3,1
16,34.375,4,0
,8.05,0,0
23,263,5,1
24,8.05,0,0
29,8.05,0,0
20,7.8542,0,0
46,61.175,1,0
26,20.575,3,0
59,7.25,0,0
,8.05,0,0
71,34.6542,0,0
23,63.3583,1,1
34,,1,1
34,26,1,0
28,7.8958,0,0
,7.8958,0,0
21,77.2875,1,0
33,8.6542,0,0
37,7.925,2,0
28,7.8958,0,0
21,7.65,0,1
,7.775,0,1
38,7.8958,0,0
,24.15,1,1
47,52,0,0
14.5,14.4542,1,0
22,8.05,0,0
20,9.825,1,0
17,14.4583,0,0
21,7.925,0,0
70.5,7.75,0,0
29,21,1,0
24,247.5208,1,0
2,31.275,6,0
21,73.5,2,0
,8.05,0,0
32.5,30.0708,1,0
32.5,13,0,1
54,77.2875,1,0
12,11.2417,1,1
,7.75,0,0
24,7.1417,0,1
,22.3583,2,1
45,6.975,0,0
33,7.8958,0,0
20,7.05,0,0
47,14.5,1,0
29,,1,1
25,13,0,0
23,15.0458,0,0
19,26.2833,2,1
37,53.1,1,0
16,9.2167,0,0
24,79.2,0,0
,15.2458,2,0
22,7.75,0,1
24,15.85,1,1
19,6.75,0,0
18,11.5,0,0
19,36.75,2,0
27,7.7958,0,1
9,34.375,4,0
36.5,26,2,0
